,playerID,yearID,votedBy,ballots,needed,votes,inducted,category,needed_note
2860,aaronha01,1982,BBWAA,415.0,312.0,406.0,Y,Player,
3743,abbotji01,2005,BBWAA,516.0,387.0,13.0,N,Player,
146,adamsba01,1937,BBWAA,201.0,151.0,8.0,N,Player,
2108,adamsbo03,1966,BBWAA,302.0,227.0,1.0,N,Player,
1706,adamssp01,1958,BBWAA,266.0,200.0,1.0,N,Player,
2738,ageeto01,1979,BBWAA,432.0,324.0,0.0,N,Player,
3776,aguilri01,2006,BBWAA,520.0,390.0,3.0,N,Player,
2788,akerja01,1980,BBWAA,385.0,289.0,0.0,N,Player,
3424,alexado01,1995,BBWAA,460.0,345.0,0.0,N,Player,
13,alexape01,1936,BBWAA,226.0,170.0,55.0,N,Player,
2739,allenbe01,1979,BBWAA,432.0,324.0,0.0,N,Player,
2927,allendi01,1983,BBWAA,374.0,281.0,14.0,N,Player,
1469,allenjo02,1955,BBWAA,251.0,189.0,1.0,N,Player,
2740,alleyge01,1979,BBWAA,432.0,324.0,0.0,N,Player,
71,allisdo01,1936,Veterans,78.0,59.0,1.0,N,Player,
3887,alomaro01,2010,BBWAA,539.0,405.0,397.0,N,Player,
3995,alomasa02,2013,BBWAA,569.0,427.0,16.0,N,Player,
2782,aloufe01,1980,BBWAA,385.0,289.0,3.0,N,Player,
3016,alouje01,1985,BBWAA,395.0,297.0,1.0,N,Player,
2781,alouma01,1980,BBWAA,385.0,289.0,5.0,N,Player,
4040,aloumo01,2014,BBWAA,571.0,429.0,6.0,N,Player,
2950,alstowa01,1983,Veterans,,,,Y,Manager,
163,altroni01,1937,BBWAA,201.0,151.0,3.0,N,Player,
3854,anderbr01,2008,BBWAA,543.0,408.0,0.0,N,Player,
4112,anderga01,2016,BBWAA,440.0,330.0,1.0,N,Player,
3596,andersp01,2000,Veterans,,,,Y,Manager,
17,ansonca01,1936,Veterans,78.0,59.0,39.0,N,Player,
2712,aparilu01,1979,BBWAA,432.0,324.0,120.0,N,Player,
3905,appieke01,2010,BBWAA,539.0,405.0,1.0,N,Player,
1332,applilu01,1953,BBWAA,264.0,198.0,2.0,N,Player,
148,archeji01,1937,BBWAA,201.0,151.0,6.0,N,Player,
2228,ashburi01,1968,BBWAA,283.0,213.0,6.0,N,Player,
4083,aurilri01,2015,BBWAA,549.0,412.0,0.0,N,Player,
4116,ausmubr01,2016,BBWAA,440.0,330.0,0.0,N,Player,
1707,austiji01,1958,BBWAA,266.0,200.0,1.0,N,Player,
986,averiea01,1949,BBWAA,153.0,115.0,1.0,N,Player,
3940,baergca01,2011,BBWAA,581.0,436.0,0.0,N,Player,
3918,bagweje01,2011,BBWAA,581.0,436.0,242.0,N,Player,
3128,bahnsst01,1988,BBWAA,427.0,321.0,0.0,N,Player,
2976,bailebo01,1984,BBWAA,403.0,303.0,1.0,N,Player,
3263,bailobo01,1991,BBWAA,443.0,333.0,0.0,N,Player,
3815,baineha01,2007,BBWAA,545.0,409.0,29.0,N,Player,
3300,bakerdu01,1992,BBWAA,430.0,323.0,4.0,N,Player,
95,bakerfr01,1936,BBWAA,226.0,170.0,1.0,N,Player,
164,bancrda01,1937,BBWAA,201.0,151.0,3.0,N,Player,
3094,bandosa01,1987,BBWAA,413.0,310.0,3.0,N,Player,
2622,bankser01,1977,BBWAA,383.0,288.0,321.0,Y,Player,
2789,barbest01,1980,BBWAA,385.0,289.0,0.0,N,Player,
3183,barlial99,1989,Veterans,,,,Y,Umpire,
57,barnero01,1936,Veterans,78.0,59.0,3.0,N,Player,
3172,barrji01,1989,BBWAA,447.0,336.0,0.0,N,Player,
1360,barroed99,1953,Veterans,,,,Y,Pioneer/Executive,
285,barryja01,1938,BBWAA,262.0,197.0,3.0,N,Player,
860,bartedi01,1948,BBWAA,121.0,91.0,1.0,N,Player,
2790,bartobo01,1980,BBWAA,385.0,289.0,0.0,N,Player,
72,battijo01,1936,Veterans,78.0,59.0,1.0,N,Player,
2148,bauerha01,1967,BBWAA,292.0,219.0,23.0,N,Player,
3376,baylodo01,1994,BBWAA,456.0,342.0,12.0,N,Player,
2741,beaucji01,1979,BBWAA,432.0,324.0,0.0,N,Player,
307,beaumgi01,1938,BBWAA,262.0,197.0,1.0,N,Player,
2845,beckegl01,1981,BBWAA,401.0,301.0,1.0,N,Player,
73,becklja01,1936,Veterans,78.0,59.0,1.0,N,Player,
3846,beckro01,2008,BBWAA,543.0,408.0,2.0,N,Player,
3623,bedrost01,2001,BBWAA,515.0,387.0,1.0,N,Player,
3123,belanma01,1988,BBWAA,427.0,321.0,16.0,N,Player,
3416,bellbu01,1995,BBWAA,460.0,345.0,8.0,N,Player,
2541,bellco99,1974,Negro League,,,,Y,Player,
3768,belleal01,2006,BBWAA,520.0,390.0,40.0,N,Player,
3556,bellge02,1999,BBWAA,497.0,373.0,6.0,N,Player,
3879,bellja01,2009,BBWAA,539.0,405.0,2.0,N,Player,
3142,benchjo01,1989,BBWAA,447.0,336.0,431.0,Y,Player,
68,bendech01,1936,BBWAA,226.0,170.0,2.0,N,Player,
4045,benitar01,2014,BBWAA,571.0,429.0,1.0,N,Player,
58,bennech01,1936,Veterans,78.0,59.0,3.0,N,Player,
1709,bentola01,1958,BBWAA,266.0,200.0,1.0,N,Player,
171,bergema01,1937,BBWAA,201.0,151.0,2.0,N,Player,
1554,bergewa01,1956,BBWAA,193.0,145.0,1.0,N,Player,
1672,bergmo01,1958,BBWAA,266.0,200.0,4.0,N,Player,
2341,berrayo01,1971,BBWAA,360.0,270.0,242.0,N,Player,
1470,berrych02,1955,BBWAA,251.0,189.0,1.0,N,Player,
2851,berryke01,1981,BBWAA,401.0,301.0,0.0,N,Player,
3215,bibbyji01,1990,BBWAA,444.0,333.0,1.0,N,Player,
3822,bicheda01,2007,BBWAA,545.0,409.0,3.0,N,Player,
861,bigbeca01,1948,BBWAA,121.0,91.0,1.0,N,Player,
3975,biggicr01,2013,BBWAA,569.0,427.0,388.0,N,Player,
3061,billija01,1986,BBWAA,425.0,319.0,1.0,N,Player,
1471,bishoma01,1955,BBWAA,251.0,189.0,1.0,N,Player,
2231,blackew01,1968,BBWAA,283.0,213.0,5.0,N,Player,
1710,bladera01,1958,BBWAA,266.0,200.0,1.0,N,Player,
3053,blairpa01,1986,BBWAA,425.0,319.0,8.0,N,Player,
4143,blakeca01,2017,BBWAA,442.0,332.0,0.0,N,Player,
2784,blassst01,1980,BBWAA,385.0,289.0,2.0,N,Player,
844,bluegos01,1948,BBWAA,121.0,91.0,2.0,N,Player,
1411,bluelu01,1954,BBWAA,252.0,189.0,1.0,N,Player,
3298,bluevi01,1992,BBWAA,430.0,323.0,23.0,N,Player,
3514,blylebe01,1998,BBWAA,473.0,355.0,83.0,N,Player,
2791,boccajo01,1980,BBWAA,385.0,289.0,0.0,N,Player,
3558,boddimi01,1999,BBWAA,497.0,373.0,0.0,N,Player,
172,bodiepi01,1937,BBWAA,201.0,151.0,2.0,N,Player,
3726,boggswa01,2005,BBWAA,516.0,387.0,474.0,Y,Player,
512,boleyjo01,1942,BBWAA,233.0,175.0,1.0,N,Player,
2742,bolinbo01,1979,BBWAA,432.0,324.0,0.0,N,Player,
3983,bondsba01,2013,BBWAA,569.0,427.0,206.0,N,Player,
3092,bondsbo01,1987,BBWAA,413.0,310.0,24.0,N,Player,
74,bondto01,1936,Veterans,78.0,59.0,1.0,N,Player,
3824,bonilbo01,2007,BBWAA,545.0,409.0,2.0,N,Player,
4079,booneaa01,2015,BBWAA,549.0,412.0,2.0,N,Player,
3451,boonebo01,1996,BBWAA,470.0,353.0,36.0,N,Player,
3938,boonebr01,2011,BBWAA,581.0,436.0,1.0,N,Player,
829,bottoji01,1948,BBWAA,121.0,91.0,4.0,N,Player,
1540,boudrlo01,1956,BBWAA,193.0,145.0,2.0,N,Player,
2973,boutoji01,1984,BBWAA,403.0,303.0,3.0,N,Player,
3254,bowala01,1991,BBWAA,443.0,333.0,11.0,N,Player,
2693,boyercl02,1978,BBWAA,379.0,285.0,1.0,N,Player,
2573,boyerke01,1975,BBWAA,362.0,272.0,9.0,N,Player,
96,bradlbi01,1936,BBWAA,226.0,170.0,1.0,N,Player,
1809,brechha01,1960,BBWAA,269.0,202.0,7.0,N,Player,
183,breitte01,1937,BBWAA,201.0,151.0,1.0,N,Player,
15,bresnro01,1936,BBWAA,226.0,170.0,47.0,N,Player,
3535,brettge01,1999,BBWAA,497.0,373.0,488.0,Y,Player,
2889,breweji01,1982,BBWAA,415.0,312.0,2.0,N,Player,
1530,bridgto01,1956,BBWAA,193.0,145.0,3.0,N,Player,
2852,briggjo02,1981,BBWAA,401.0,301.0,0.0,N,Player,
2977,brilene01,1984,BBWAA,403.0,303.0,1.0,N,Player,
2984,brocklo01,1985,BBWAA,395.0,297.0,315.0,Y,Player,
3595,brookhu01,2000,BBWAA,499.0,375.0,0.0,N,Player,
3827,brosisc01,2007,BBWAA,545.0,409.0,0.0,N,Player,
62,broutda01,1936,Veterans,78.0,59.0,2.0,N,Player,
2846,brownga01,1981,BBWAA,401.0,301.0,1.0,N,Player,
3932,brownke01,2011,BBWAA,581.0,436.0,12.0,N,Player,
2792,brownla01,1980,BBWAA,385.0,289.0,0.0,N,Player,
48,brownmo01,1936,BBWAA,226.0,170.0,6.0,N,Player,
3782,brownra99,2006,Negro League,,,,Y,Player,
3624,brownto05,2001,BBWAA,515.0,387.0,1.0,N,Player,
3783,brownwi02,2006,Negro League,,,,Y,Player,
2388,brutobi01,1971,BBWAA,360.0,270.0,1.0,N,Player,
3459,bucknbi01,1996,BBWAA,470.0,353.0,10.0,N,Player,
3826,buhneja01,2007,BBWAA,545.0,409.0,1.0,N,Player,
223,bulkemo99,1937,Centennial,,,,Y,Pioneer/Executive,
3264,bumbral01,1991,BBWAA,443.0,333.0,0.0,N,Player,
2630,bunniji01,1977,BBWAA,383.0,288.0,146.0,N,Player,
2473,burdele01,1973,BBWAA,380.0,285.0,12.0,N,Player,
2490,burgesm01,1973,BBWAA,380.0,285.0,1.0,N,Player,
75,burkeje01,1936,Veterans,78.0,59.0,1.0,N,Player,
3903,burksel01,2010,BBWAA,539.0,405.0,2.0,N,Player,
3343,burleri01,1993,BBWAA,423.0,318.0,0.0,N,Player,
3971,burnije01,2012,BBWAA,573.0,430.0,0.0,N,Player,
165,burnsge01,1937,BBWAA,201.0,151.0,3.0,N,Player,
4144,burrepa01,2017,BBWAA,442.0,332.0,0.0,N,Player,
3256,burroje01,1991,BBWAA,443.0,333.0,1.0,N,Player,
185,bushdo01,1937,BBWAA,201.0,151.0,1.0,N,Player,
1541,bushgu01,1956,BBWAA,193.0,145.0,2.0,N,Player,
1664,bushjo01,1958,BBWAA,266.0,200.0,5.0,N,Player,
3683,butlebr01,2003,BBWAA,496.0,372.0,2.0,N,Player,
4145,cabreor01,2017,BBWAA,442.0,332.0,0.0,N,Player,
