playerID,birthCountry,nameFirst,nameLast,weight,height,bats,throws
aardsda01,USA,David,Aardsma,215,75,R,R
aaronha01,USA,Hank,Aaron,180,72,R,R
aaronto01,USA,Tommie,Aaron,190,75,R,R
aasedo01,USA,Don,Aase,190,75,R,R
abadan01,USA,Andy,Abad,184,73,L,L
abadfe01,D.R.,Fernando,Abad,235,74,L,L
abadijo01,USA,John,Abadie,192,72,R,R
abbated01,USA,Ed,Abbaticchio,170,71,R,R
abbeybe01,USA,Bert,Abbey,175,71,R,R
abbeych01,USA,Charlie,Abbey,169,68,L,L
abbotda01,USA,Dan,Abbott,190,71,R,R
abbotfr01,USA,Fred,Abbott,180,70,R,R
abbotgl01,USA,Glenn,Abbott,200,78,R,R
abbotje01,USA,Jeff,Abbott,190,74,R,L
abbotji01,USA,Jim,Abbott,200,75,L,L
abbotku01,USA,Kurt,Abbott,180,71,R,R
abbotky01,USA,Kyle,Abbott,200,76,L,L
abbotod01,USA,Ody,Abbott,165,69,L,R
abbotpa01,USA,Paul,Abbott,185,75,R,R
aberal01,USA,Al,Aber,195,74,L,L
abercda01,USA,Frank,Abercrombie,,,,
abercre01,USA,Reggie,Abercrombie,215,75,R,R
abernbi01,USA,Bill,Abernathie,190,70,R,R
abernbr01,USA,Brent,Abernathy,185,73,R,R
abernte01,USA,Ted,Abernathy,210,74,R,L
abernte02,USA,Ted,Abernathy,215,76,R,R
abernwo01,USA,Woody,Abernathy,170,72,L,L
aberscl01,USA,Cliff,Aberson,200,72,R,R
ablesha01,USA,Harry,Ables,200,74,R,L
abnersh01,USA,Shawn,Abner,190,73,R,R
abramca01,USA,Cal,Abrams,185,72,L,L
abramge01,USA,George,Abrams,170,69,R,R
abregjo01,USA,Johnny,Abrego,185,72,R,R
abreual01,D.R.,Albert,Abreu,190,74,R,R
abreubo01,Venezuela,Bobby,Abreu,220,72,L,R
abreubr01,D.R.,Bryan,Abreu,225,73,R,R
abreujo01,USA,Joe,Abreu,160,68,R,R
abreujo02,Cuba,José,Abreu,250,75,R,R
abreuju01,D.R.,Juan,Abreu,185,72,R,R
abreuto01,D.R.,Tony,Abreu,200,70,B,R
abreuwi01,D.R.,Winston,Abreu,170,74,R,R
abstebi01,USA,Bill,Abstein,185,72,R,R
accarje01,USA,Jeremy,Accardo,195,72,R,R
aceveal01,Mexico,Alfredo,Aceves,205,74,R,R
acevejo01,D.R.,Jose,Acevedo,185,72,R,R
aceveju01,Mexico,Juan,Acevedo,245,74,R,R
achteaj01,USA,A. J.,Achter,215,77,R,R
ackerji01,USA,Jim,Acker,210,74,R,R
ackerto01,USA,Tom,Acker,215,76,R,R
ackledu01,USA,Dustin,Ackley,205,73,L,R
acklefr01,USA,Fritz,Ackley,202,73,L,R
acostcy01,Mexico,Cy,Acosta,165,70,R,R
acosted01,Panama,Ed,Acosta,215,77,B,R
acostjo01,Cuba,José,Acosta,134,66,R,R
acostma01,Panama,Manny,Acosta,215,76,R,R
acostme01,Cuba,Merito,Acosta,140,67,L,L
acrema01,USA,Mark,Acre,235,80,R,R
actama99,D.R.,Manny,Acta,172,74,R,R
acunaro01,Venezuela,Ronald,Acuna,205,72,R,R
adairbi99,USA,Bill,Adair,168,72,R,R
adairje01,USA,Jerry,Adair,175,72,R,R
adairji01,USA,Jimmy,Adair,154,70,R,R
adamecr01,D.R.,Cristhian,Adames,217,71,B,R
adamewi01,D.R.,Willy,Adames,210,72,R,R
adamja01,USA,Jason,Adam,229,75,R,R
adamsac01,USA,Ace,Adams,182,70,R,R
adamsau01,USA,Austin,Adams,205,71,R,R
adamsau02,USA,Austin,Adams,220,75,R,R
adamsba01,USA,Babe,Adams,185,71,L,R
adamsbe01,USA,Bert,Adams,185,73,B,R
adamsbo01,USA,Bob,Adams,168,71,R,R
adamsbo02,USA,Bob,Adams,165,72,R,R
adamsbo03,USA,Bobby,Adams,160,70,R,R
adamsbo04,USA,Bob,Adams,200,74,R,R
adamsbu01,USA,Buster,Adams,180,72,R,R
adamsch01,USA,Chance,Adams,215,73,R,R
adamsda01,USA,Dan,Adams,165,71,R,R
adamsda02,USA,David,Adams,205,74,R,R
adamsdi01,USA,Dick,Adams,185,72,R,L
adamsdo01,USA,Doug,Adams,185,75,L,R
adamsge01,USA,George,Adams,175,66,R,R
adamsgl01,USA,Glenn,Adams,180,73,L,R
adamshe01,USA,Herb,Adams,160,69,L,L
adamsji01,USA,Jim,Adams,148,66,,R
adamsjo01,USA,Joe,Adams,190,72,R,L
adamsjo02,USA,Joel,Adamson,185,76,L,L
adamska01,USA,Karl,Adams,170,74,R,R
adamsla01,USA,Lane,Adams,190,76,R,R
adamsma01,USA,Matt,Adams,245,75,L,R
adamsmi01,USA,Mike,Adamson,185,74,R,R
