playerID,W,L,G,GS,CG,SHO,SV,InningsPitchedouts,H_allowed,ER,HR_allowed,BB_allowed,StruckOut,BAOpp,ERA,IBB_allowed,WP,HitBatsmen,BK,BFP,GF,R_allowed,SH_allowed,SF_allowed,GIDP_pitcher
aardsda01,16,18,331,0,0,0,69,1011,296,160,41,183,340,0.2574444444444444,5.1944444444444455,22.0,12,16.0,1,1475.0,141,169,17.0,11.0,21.0
aasedo01,66,60,448,91,22,5,82,3328,1085,468,89,457,641,0.25084615384615383,3.4930769230769227,45.0,22,7.0,3,4730.0,235,503,50.0,34.0,106.0
abadfe01,8,29,384,6,0,0,2,992,309,135,42,116,280,0.24470000000000006,4.0809999999999995,10.0,10,12.0,2,1399.0,97,143,7.0,12.0,25.0
abbeybe01,22,40,79,65,52,0,1,1704,686,285,18,192,161,,4.678333333333334,0.0,18,26.0,0,2568.0,14,442,0.0,0.0,0.0
abbeych01,0,0,1,0,0,0,0,6,6,1,0,0,0,,4.5,0.0,1,0.0,0,12.0,1,3,0.0,0.0,0.0
abbotda01,0,2,3,1,1,0,1,39,19,9,0,8,1,,6.23,0.0,3,1.0,0,67.0,2,14,0.0,0.0,0.0
abbotgl01,62,83,248,206,37,5,0,3858,1405,627,162,352,484,0.2785833333333333,4.331666666666667,28.0,18,32.0,5,5508.0,13,707,60.0,39.0,111.0
abbotji01,87,108,263,254,31,6,0,5022,1779,791,154,620,888,0.28036363636363637,4.496363636363636,30.0,53,32.0,11,7211.0,5,880,70.0,47.0,200.0
abbotky01,4,17,57,22,0,0,0,556,207,107,26,79,124,0.33775,8.4425,0.0,13,2.0,3,815.0,4,112,10.0,6.0,18.0
abbotpa01,43,37,162,112,1,0,0,2162,682,394,101,393,496,0.2615,5.511666666666667,17.0,37,21.0,0,3187.0,17,421,19.0,22.0,51.0
aberal01,24,25,168,30,7,0,14,1168,398,181,29,160,169,0.27,5.44375,10.0,8,6.0,0,1698.0,76,205,0.0,0.0,0.0
abernbi01,0,0,1,0,0,0,1,6,4,3,1,1,0,0.44,13.5,0.0,0,0.0,0,10.0,1,3,0.0,0.0,0.0
abernte01,0,3,7,2,1,0,0,61,31,25,0,17,13,0.32666666666666666,8.673333333333334,0.0,1,0.0,0,107.0,3,26,0.0,0.0,0.0
abernte02,63,69,681,34,7,2,148,3443,1010,441,70,592,765,0.24505882352941177,3.9652941176470593,80.0,35,45.0,3,4963.0,416,513,23.0,7.0,0.0
abernwo01,1,1,16,1,0,0,1,126,36,17,5,11,6,0.315,6.1899999999999995,0.0,0,0.0,0,164.0,6,19,0.0,0.0,0.0
ablesha01,1,5,14,8,4,0,0,214,79,32,1,30,41,0.33,5.253333333333333,0.0,5,1.0,1,317.0,6,51,0.0,0.0,0.0
abramge01,0,0,3,0,0,0,0,14,10,5,0,3,1,0.5,9.64,0.0,0,0.0,0,24.0,1,5,0.0,0.0,0.0
abregjo01,1,1,6,5,0,0,0,72,32,17,3,12,13,0.35200000000000004,6.38,1.0,0,0.0,0,109.0,0,18,5.0,1.0,3.0
abreubr01,0,0,7,0,0,0,0,26,4,1,0,3,13,0.138,1.04,0.0,0,0.0,0,32.0,2,1,0.0,0.0,1.0
abreuju01,0,0,7,0,0,0,0,20,6,2,1,3,12,0.231,2.7,0.0,0,5.0,0,34.0,2,2,0.0,0.0,0.0
abreuwi01,0,1,38,0,0,0,0,133,57,36,10,19,38,0.33199999999999996,10.412500000000001,2.0,2,2.0,1,207.0,6,39,1.0,2.0,6.0
accarje01,10,20,262,0,0,0,38,854,288,136,24,111,205,0.30039999999999994,5.348999999999999,16.0,10,9.0,2,1222.0,115,143,5.0,13.0,26.0
aceveal01,31,16,204,15,0,0,29,1141,333,162,48,129,282,0.2412857142857143,4.041428571428571,6.0,5,28.0,6,1599.0,91,172,6.0,13.0,26.0
acevejo01,18,25,104,59,1,0,1,1105,420,235,71,113,253,0.272,5.55,14.0,9,12.0,2,1628.0,11,246,14.0,17.0,22.0
aceveju01,28,40,367,34,0,0,53,1710,597,274,72,226,350,0.2833,4.508,34.0,20,28.0,4,2488.0,165,316,29.0,26.0,59.0
achteaj01,2,1,45,0,0,0,0,186,69,27,13,21,33,0.27666666666666667,4.376666666666666,2.0,0,1.0,0,267.0,22,30,0.0,1.0,8.0
ackerji01,33,49,467,32,0,0,30,2713,918,399,82,329,482,0.27033333333333337,3.9600000000000004,40.0,31,32.0,2,3868.0,159,447,43.0,31.0,100.0
ackerto01,19,13,153,23,5,1,8,1141,365,174,43,150,256,0.2475,4.0025,20.0,6,17.0,0,1629.0,35,181,0.0,0.0,0.0
