playerID,awardID,yearID,lgID,tie,notes
aaronha01,16,16,16,0,12
abbotji01,2,2,2,0,1
abernte02,2,2,2,0,0
abreubo01,2,2,2,0,2
abreujo02,2,2,2,0,1
adamsba01,2,2,2,0,2
ageeto01,3,3,3,0,2
ainsmed01,1,1,1,0,1
akerja01,1,1,1,0,0
alexape01,21,21,21,0,18
alfonan01,2,2,2,0,0
alfoned01,2,2,2,0,2
allendi01,5,5,5,0,2
allenjo02,4,4,4,0,3
alleyge01,4,4,4,0,4
allisbo01,1,1,1,0,0
alomaro01,21,21,21,0,19
alomasa02,3,3,3,0,1
aloufe01,1,1,1,0,1
alouma01,1,1,1,0,1
aloumo01,5,5,5,0,5
altuvjo01,10,10,10,0,7
alvarpe01,1,1,1,0,1
amaroru01,1,1,1,0,1
anderga01,5,5,5,0,4
andujjo01,1,1,1,0,1
antonjo02,3,3,3,0,2
aparilu01,15,15,15,0,14
applilu01,10,10,10,0,10
archeji01,9,9,9,0,9
arenano01,8,8,8,0,8
armasto01,4,4,4,0,3
arrieja01,2,2,2,0,1
arroybr01,1,1,1,0,1
arroylu01,1,1,1,0,0
aurilri01,2,2,2,0,2
ausmubr01,3,3,3,0,3
averiea01,11,11,11,0,11
averyst01,2,2,2,0,1
avilaal01,1,1,1,0,1
avilabo01,1,1,1,0,1
axforjo01,1,1,1,0,0
ayalabo01,1,1,1,0,0
aybarer01,1,1,1,0,1
baergca01,4,4,4,0,4
baezja01,1,1,1,1,1
bagbyji01,2,2,2,0,2
bagbyji02,1,1,1,0,1
bagweje01,11,11,11,0,8
bahnsst01,1,1,1,0,0
bailean01,1,1,1,0,0
baineha01,4,4,4,0,4
bakerdu01,5,5,5,0,4
bakerfr01,7,7,7,0,7
bancrda01,8,8,8,0,8
bandosa01,2,2,2,0,2
bankser01,10,10,10,0,5
barfije01,3,3,3,0,3
barneda01,1,1,1,0,1
barneje01,1,1,1,0,1
barnhtu01,1,1,1,0,1
barrema02,1,1,1,0,0
barremi01,1,1,1,0,1
barrere01,1,1,1,0,1
barryja01,2,2,2,0,2
bartedi01,2,2,2,0,2
bassljo01,2,2,2,0,2
batteea01,5,5,5,0,5
bautijo02,5,5,5,0,3
bayja01,2,2,2,0,1
baylodo01,9,9,9,0,6
beazljo01,1,1,1,0,1
beckegl01,4,4,4,0,4
beckejo02,3,3,3,0,1
beckro01,1,1,1,0,0
bedrost01,3,3,3,0,0
belanma01,9,9,9,0,9
bellbu01,10,10,10,0,9
belleal01,11,11,11,0,10
bellge02,8,8,8,0,5
bellhe01,3,3,3,0,0
bellico01,1,1,1,0,0
bellja01,3,3,3,0,3
beltrad01,9,9,9,0,9
beltrca01,8,8,8,0,6
benchjo01,26,26,26,0,18
bendech01,3,3,3,0,3
beniqju01,1,1,1,0,1
benitar01,2,2,2,1,0
bentola01,2,2,2,0,2
bergewa01,5,5,5,0,5
berkmla01,2,2,2,1,1
bernato01,1,1,1,0,1
berrayo01,13,13,13,0,10
berroan01,1,1,1,0,0
berryke01,2,2,2,0,2
bettsmo01,5,5,5,0,5
bibbyji01,1,1,1,0,1
bicheda01,2,2,2,0,2
bigbeca01,2,2,2,0,2
biggicr01,17,17,17,0,14
blackch02,3,3,3,0,3
blackew01,3,3,3,0,3
blackjo02,1,1,1,0,0
blairpa01,10,10,10,0,10
blausje01,2,2,2,0,2
blefacu01,1,1,1,0,0
bluegos01,2,2,2,0,2
bluevi01,6,6,6,0,2
boddimi01,3,3,3,0,2
bogaexa01,2,2,2,0,2
boggswa01,17,17,17,0,17
bollifr01,2,2,2,0,2
bondsba01,47,47,47,0,34
bondsbo01,7,7,7,0,5
bondto01,1,1,1,0,0
bonhati01,3,3,3,0,3
bonilbo01,6,6,6,0,6
boonebo01,8,8,8,0,8
boonebr01,8,8,8,0,8
bordepa01,1,1,1,0,0
borowha01,4,4,4,0,3
borowjo01,2,2,2,0,1
bottoji01,4,4,4,0,3
boudrlo01,11,11,11,0,8
bournmi01,2,2,2,0,2
bowala01,4,4,4,0,4
boyercl02,1,1,1,0,1
boyerke01,14,14,14,0,10
bradlja02,1,1,1,0,1
bradlph01,1,1,1,0,1
brancra01,2,2,2,0,2
branded01,2,2,2,0,2
brandja01,1,1,1,0,1
brantje01,1,1,1,0,0
brantmi02,1,1,1,0,1
braunry01,1,1,1,0,1
braunry02,6,6,6,0,4
breamsi01,1,1,1,0,0
brechha01,5,5,5,0,5
bresnro01,5,5,5,0,5
brettge01,14,14,14,0,8
bridgto01,6,6,6,0,6
brinked01,1,1,1,0,1
brittza01,3,3,3,0,1
brocklo01,7,7,7,0,2
brogler01,1,1,1,0,1
brookhu01,2,2,2,0,2
brosisc01,4,4,4,0,3
brownji03,3,3,3,0,3
brownke01,2,2,2,0,1
brownmo01,4,4,4,0,4
bruceja01,2,2,2,0,2
bryankr01,4,4,4,0,2
bryanro01,2,2,2,0,1
buehrma01,4,4,4,0,4
buhneja01,1,1,1,0,1
bumbral01,2,2,2,0,1
bumgama01,4,4,4,0,2
bunniji01,2,2,2,0,2
burdele01,2,2,2,0,1
burgesm01,1,1,1,0,1
burksel01,5,5,5,0,5
burleri01,4,4,4,0,4
burnsge01,4,4,4,0,4
burnsge02,4,4,4,0,3
burroje01,3,3,3,0,1
bushdo01,4,4,4,0,4
bushjo01,2,2,2,0,2
butlebi03,2,2,2,0,1
butlebr01,2,2,2,0,0
buxtoby01,1,1,1,0,1
byrdha01,1,1,1,0,0
cabreas01,1,1,1,0,1
cabreme01,1,1,1,0,0
cabremi01,16,16,16,0,9
cabreor01,2,2,2,0,2
cainlo01,1,1,1,0,0
calhoko01,1,1,1,0,1
