playerID,awardID,yearID,lgID,tie,notes
justida01,ALCS MVP,2000,AL,,
jeterde01,All-Star Game MVP,2000,ML,,
jeterde01,Babe Ruth Award,2000,AL,,SS
stottto01,Branch Rickey Award,2000,ML,,
martipe02,Cy Young Award,2000,AL,,
johnsra05,Cy Young Award,2000,NL,,
olerujo01,Gold Glove,2000,AL,,1B
alomaro01,Gold Glove,2000,AL,,2B
frymatr01,Gold Glove,2000,AL,,3B
rodriiv01,Gold Glove,2000,AL,,C
dyeje01,Gold Glove,2000,AL,,OF
erstada01,Gold Glove,2000,AL,,OF
willibe02,Gold Glove,2000,AL,,OF
rogerke01,Gold Glove,2000,AL,,P
vizquom01,Gold Glove,2000,AL,,SS
snowjt01,Gold Glove,2000,NL,,1B
reesepo01,Gold Glove,2000,NL,,2B
rolensc01,Gold Glove,2000,NL,,3B
mathemi01,Gold Glove,2000,NL,,C
edmonji01,Gold Glove,2000,NL,,OF
finlest01,Gold Glove,2000,NL,,OF
jonesan01,Gold Glove,2000,NL,,OF
maddugr01,Gold Glove,2000,NL,,P
perezne01,Gold Glove,2000,NL,,SS
delgaca01,Hank Aaron Award,2000,AL,,1B
heltoto01,Hank Aaron Award,2000,NL,,1B
giambja01,Hutch Award,2000,ML,,
stottto01,Lou Gehrig Memorial Award,2000,ML,,
giambja01,Most Valuable Player,2000,AL,,
kentje01,Most Valuable Player,2000,NL,,
hamptmi01,NLCS MVP,2000,NL,,
leiteal01,Roberto Clemente Award,2000,ML,,
jonesto02,Rolaids Relief Man Award,2000,AL,,
alfonan01,Rolaids Relief Man Award,2000,NL,,
sasakka01,Rookie of the Year,2000,AL,,
furcara01,Rookie of the Year,2000,NL,,
delgaca01,Silver Slugger,2000,AL,,1B
alomaro01,Silver Slugger,2000,AL,,2B
glaustr01,Silver Slugger,2000,AL,,3B
posadjo01,Silver Slugger,2000,AL,,C
thomafr04,Silver Slugger,2000,AL,,DH
erstada01,Silver Slugger,2000,AL,,OF
ordonma01,Silver Slugger,2000,AL,,OF
ramirma02,Silver Slugger,2000,AL,,OF
rodrial01,Silver Slugger,2000,AL,,SS
heltoto01,Silver Slugger,2000,NL,,1B
kentje01,Silver Slugger,2000,NL,,2B
jonesch06,Silver Slugger,2000,NL,,3B
piazzmi01,Silver Slugger,2000,NL,,C
bondsba01,Silver Slugger,2000,NL,,OF
guerrvl01,Silver Slugger,2000,NL,,OF
sosasa01,Silver Slugger,2000,NL,,OF
hamptmi01,Silver Slugger,2000,NL,,P
renteed01,Silver Slugger,2000,NL,,SS
delgaca01,TSN All-Star,2000,AL,,1B
alomaro01,TSN All-Star,2000,AL,,2B
frymatr01,TSN All-Star,2000,AL,,3B
