playerID,yearID,votedBy,ballots,needed,votes,inducted,category,needed_note
fiskca01,2000,BBWAA,499,375,397,Y,Player,
perezto01,2000,BBWAA,499,375,385,Y,Player,
riceji01,2000,BBWAA,499,375,257,N,Player,
cartega01,2000,BBWAA,499,375,248,N,Player,
suttebr01,2000,BBWAA,499,375,192,N,Player,
gossari01,2000,BBWAA,499,375,166,N,Player,
garvest01,2000,BBWAA,499,375,160,N,Player,
johnto01,2000,BBWAA,499,375,135,N,Player,
kaatji01,2000,BBWAA,499,375,125,N,Player,
murphda05,2000,BBWAA,499,375,116,N,Player,
morrija02,2000,BBWAA,499,375,111,N,Player,
parkeda01,2000,BBWAA,499,375,104,N,Player,
blylebe01,2000,BBWAA,499,375,87,N,Player,
tiantlu01,2000,BBWAA,499,375,86,N,Player,
conceda01,2000,BBWAA,499,375,67,N,Player,
hernake01,2000,BBWAA,499,375,52,N,Player,
guidrro01,2000,BBWAA,499,375,44,N,Player,
reardje01,2000,BBWAA,499,375,24,N,Player,
boonebo01,2000,BBWAA,499,375,21,N,Player,
wilsowi02,2000,BBWAA,499,375,10,N,Player,
sutclri01,2000,BBWAA,499,375,9,N,Player,
hrbekke01,2000,BBWAA,499,375,5,N,Player,
houghch01,2000,BBWAA,499,375,4,N,Player,
hendeda01,2000,BBWAA,499,375,2,N,Player,
saxst01,2000,BBWAA,499,375,2,N,Player,
gullibi01,2000,BBWAA,499,375,1,N,Player,
hurstbr01,2000,BBWAA,499,375,1,N,Player,
smithlo01,2000,BBWAA,499,375,1,N,Player,
welchbo01,2000,BBWAA,499,375,1,N,Player,
brookhu01,2000,BBWAA,499,375,0,N,Player,
andersp01,2000,Veterans,,,,Y,Manager,
mcphebi01,2000,Veterans,,,,Y,Player,
steartu99,2000,Veterans,,,,Y,Player,
winfida01,2001,BBWAA,515,387,435,Y,Player,
puckeki01,2001,BBWAA,515,387,423,Y,Player,
cartega01,2001,BBWAA,515,387,334,N,Player,
riceji01,2001,BBWAA,515,387,298,N,Player,
