playerID,inducted,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,SH,SF,GIDP,AVG,PO,A,E,DP,award_count
aaronha01,Y,2174,3771,624,98,755,2297,240,73,1402,1383,293,21,121,328,0.304998382400518,7436,429,144,218,16
abbotji01,N,0,2,0,0,0,3,0,0,0,10,0,3,0,0,0.0952380952380952,72,300,9,16,2
adamsba01,N,79,216,31,15,3,75,1,1,53,194,0,35,0,0,0.211972522080471,58,648,17,17,2
ageeto01,N,558,999,170,27,130,433,167,81,342,918,26,21,15,99,0.255368098159509,2371,53,61,18,3
akerja01,N,3,7,2,0,0,4,0,0,1,51,0,10,0,1,0.0760869565217391,65,167,8,20,1
alexape01,Y,154,378,60,13,11,163,3,5,77,276,0,88,0,0,0.208839779005525,189,1419,25,50,21
allendi01,N,1099,1848,320,79,351,1119,133,52,894,1556,138,19,53,164,0.291850915982312,7658,1711,245,756,5
allenjo02,N,82,124,12,3,4,64,1,0,33,155,0,36,0,8,0.173184357541899,104,366,21,24,4
alleyge01,N,442,999,140,44,55,342,63,30,300,622,62,56,22,95,0.254392666157372,1879,3641,166,805,4
alomaro01,Y,1508,2724,504,80,210,1134,474,114,1032,1140,62,148,97,206,0.300231455968257,4463,6536,183,1411,21
alomasa02,N,520,1236,249,10,112,588,25,24,212,499,15,48,34,132,0.272847682119205,7667,464,86,72,3
aloufe01,N,985,2101,359,49,206,852,107,67,423,706,67,33,56,135,0.286278784575555,6537,322,96,330,1
alouma01,N,780,1777,236,50,31,427,156,80,311,377,38,55,29,101,0.306961478666436,3794,176,71,155,1
aloumo01,N,1109,2134,421,39,332,1287,106,37,737,894,91,9,82,195,0.30325422765383,3114,95,65,20,5
anderga01,N,1084,2529,522,36,287,1365,80,47,429,1224,104,13,87,197,0.292708333333333,4057,109,48,18,5
aparilu01,Y,1335,2677,394,92,83,791,506,136,736,742,22,161,76,184,0.261681329423265,4548,8016,366,1553,15
applilu01,N,1319,2749,440,102,45,1116,179,108,1302,528,0,74,0,129,0.310411020776874,4674,7543,672,1475,10
archeji01,N,246,660,106,34,16,296,36,6,124,283,0,93,0,0,0.249433106575964,3861,1012,142,112,9
aurilri01,N,745,1576,301,22,186,756,23,18,450,861,22,36,47,140,0.275476315329488,3079,3516,159,933,2
ausmubr01,N,718,1579,270,34,80,607,102,53,634,1034,69,82,37,201,0.251473164516643,12856,960,80,133,3
averiea01,Y,1224,2019,401,128,238,1164,70,57,774,518,0,55,0,7,0.317802612938769,3969,115,126,29,11
baergca01,N,731,1583,279,17,134,774,59,24,291,580,41,26,66,158,0.291046148189005,2634,3501,169,820,4
bagweje01,Y,1517,2314,488,32,449,1529,202,78,1401,1558,155,3,102,221,0.296780813133256,17546,1705,129,1618,11
bahnsst01,N,22,56,8,2,1,19,0,0,19,225,0,43,1,4,0.116910229645094,154,414,35,26,1
baineha01,N,1299,2866,488,49,384,1628,34,34,1062,1441,187,9,99,298,0.289261203068228,2031,69,47,17,4
bakerdu01,N,964,1981,320,23,242,1013,137,73,762,926,52,27,85,158,0.27834761837853,4073,136,59,54,5
bakerfr01,Y,887,1838,315,103,96,987,235,28,473,268,0,153,0,0,0.307152406417112,2154,3155,322,259,7
bancrda01,Y,1048,2004,320,77,32,591,145,75,827,487,0,212,0,0,0.279030910609858,4673,6604,666,1027,8
bandosa01,N,982,1790,289,38,242,1039,75,46,1031,923,69,65,57,149,0.253541076487252,1788,3743,231,362,2
bankser01,Y,1305,2583,407,90,512,1636,50,53,763,1236,198,45,96,229,0.274174716059866,14206,4355,261,1742,10
barryja01,N,532,1009,142,38,10,429,153,18,396,261,0,284,0,0,0.243367100820068,2226,3590,347,445,2
bartedi01,N,1130,2165,442,71,79,710,109,3,748,627,0,269,0,102,0.283785555118626,4425,6348,512,1183,2
baylodo01,N,1236,2135,366,28,338,1276,285,120,805,1069,91,16,115,196,0.260429373017809,2716,110,58,80,9
beckegl01,N,685,1473,196,31,22,360,49,25,260,243,3,58,27,114,0.282834101382488,2712,3719,179,758,4
beckro01,N,0,4,0,0,0,1,0,0,0,10,0,1,0,0,0.210526315789474,39,96,4,7,1
bedrost01,N,3,15,0,0,0,2,0,0,3,58,0,12,0,0,0.0980392156862745,64,122,10,11,3
belanma01,N,676,1316,175,33,20,389,167,75,576,839,22,155,45,83,0.227524204702628,3040,5831,211,1061,9
bellbu01,N,1151,2514,425,56,201,1106,55,79,836,776,84,60,80,255,0.279488604780434,2196,5009,262,448,10
belleal01,N,974,1726,389,21,381,1239,88,41,683,961,91,4,78,193,0.294891508628054,2642,91,66,18,11
bellge02,N,814,1702,308,34,265,1002,67,36,331,771,53,0,83,165,0.277968316184877,2294,84,88,11,8
bellja01,N,1123,1963,394,67,195,860,91,60,853,1443,25,159,58,165,0.265341984320086,3202,5609,220,1120,3
benchjo01,Y,1091,2048,381,24,389,1376,68,43,891,1278,135,11,90,201,0.267432750065291,10469,1191,151,238,26
bendech01,Y,102,243,40,10,6,116,20,0,75,143,0,42,0,0,0.211857018308631,237,814,59,27,3
benitar01,N,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,31,40,7,1,2
bentola01,N,54,122,12,2,2,42,1,0,30,181,0,52,0,2,0.165311653116531,93,469,22,33,2
bergewa01,N,809,1550,299,59,242,898,36,0,435,694,0,27,0,69,0.300213054425721,3430,91,91,28,5
berrayo01,Y,1175,2150,321,49,358,1430,30,26,704,414,49,9,44,146,0.28457974851092,9221,819,125,183,13
berryke01,N,422,1053,150,23,58,343,45,46,298,569,31,64,17,108,0.254593810444874,2722,85,30,15,2
bibbyji01,N,15,31,6,0,5,17,0,0,13,88,0,24,1,1,0.148325358851675,88,216,20,16,1
bicheda01,N,934,1906,401,27,274,1141,152,73,355,1078,32,5,73,176,0.298699263438333,2829,128,80,38,2
bigbeca01,N,629,1205,139,75,17,324,182,68,344,161,0,109,0,0,0.287452290076336,2375,241,97,47,2
biggicr01,Y,1844,3060,668,55,291,1175,414,124,1160,1753,68,101,81,150,0.281353438764252,7156,5671,201,1174,17
blackew01,N,31,77,12,1,1,22,0,0,12,73,0,28,0,8,0.173814898419865,46,311,19,20,3
blairpa01,N,776,1513,282,55,134,620,171,93,449,877,23,108,51,126,0.250413770274743,4347,115,57,27,10
bluegos01,N,883,1751,276,67,43,848,140,87,723,515,0,218,0,2,0.271894409937888,2278,3926,250,448,2
bluevi01,N,37,53,9,0,4,15,0,2,49,271,0,53,1,2,0.103515625,127,427,19,21,6
boddimi01,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,245,366,32,37,3
boggswa01,Y,1513,3010,578,61,118,1014,24,35,1412,745,180,29,96,236,0.327886710239651,2115,4304,232,472,17
bondsba01,N,2227,2935,601,77,762,1996,514,141,2558,1539,688,4,91,165,0.298060322940997,5637,173,97,25,47
bondsbo01,N,1258,1886,302,66,332,1024,461,169,914,1757,75,16,64,107,0.267783614936817,3659,128,89,40,7
bondto01,N,213,471,53,11,0,174,5,1,22,63,0,0,0,7,0.238481012658228,336,928,138,32,1
bonilbo01,N,1084,2010,408,61,287,1173,45,57,912,1204,128,5,97,169,0.27866352419243,3045,1869,230,251,6
boonebo01,N,679,1838,303,26,105,826,38,50,663,608,90,142,78,191,0.253692201518288,11325,1185,183,155,8
boonebr01,N,927,1775,366,28,252,1021,94,53,552,1295,32,55,73,168,0.265599281759689,3445,4594,117,1085,8
bottoji01,Y,1177,2313,465,151,219,1422,58,15,664,591,0,177,0,33,0.309597108820774,18337,815,223,1562,4
boudrlo01,Y,861,1779,385,66,68,789,51,50,796,309,0,164,0,155,0.295073809918726,3265,4877,230,1205,11
bowala01,N,987,2191,262,99,15,525,318,105,474,569,45,151,43,121,0.260275599904966,3323,6864,211,1267,4
boyercl02,N,645,1396,200,33,162,654,41,28,470,931,74,37,53,136,0.241522491349481,1902,3810,198,443,1
boyerke01,N,1104,2143,318,68,282,1141,105,77,713,1017,97,17,63,185,0.287458081824279,2376,3737,274,417,14
brechha01,N,48,129,13,5,2,44,0,0,45,121,0,24,0,16,0.191679049034175,78,376,8,22,5
bresnro01,Y,682,1252,218,71,26,530,212,3,714,403,0,112,0,0,0.279401919214461,5138,1416,241,138,5
brettge01,Y,1583,3154,665,137,317,1596,201,97,1096,908,229,26,120,235,0.3047637452894,5503,3984,292,674,14
bridgto01,N,83,181,27,8,0,72,0,0,74,271,0,65,0,6,0.180458624127617,144,469,24,23,6
brocklo01,Y,1610,3023,486,141,149,900,938,307,761,1730,124,47,46,114,0.292586140147116,4394,142,196,29,7
brookhu01,N,656,1608,290,31,149,824,64,56,387,1005,62,12,65,163,0.269166387679946,1935,2031,196,287,2
brosisc01,N,544,1001,200,8,141,531,57,30,348,699,12,31,41,84,0.257392645924402,1219,1821,119,222,4
brownke01,N,20,64,10,0,2,29,0,0,19,187,0,54,2,2,0.129292929292929,388,562,49,37,2
brownmo01,Y,93,235,20,11,2,74,8,0,44,199,0,49,0,0,0.205599300087489,173,843,36,43,4
buhneja01,N,797,1273,233,19,310,965,6,24,792,1406,41,12,54,123,0.253939756632755,2537,100,33,28,1
bumbral01,N,778,1422,220,52,54,402,254,92,471,709,30,44,30,74,0.281416980011874,2975,68,44,10,2
bunniji01,Y,82,213,21,4,7,75,0,2,34,362,0,85,6,36,0.167058823529412,206,372,23,20,2
burdele01,N,101,185,27,4,12,75,2,0,32,271,0,63,6,14,0.182987141444115,245,622,27,55,2
burgesm01,N,485,1318,230,33,126,673,13,14,477,270,80,13,39,121,0.294788637888616,5214,441,71,63,1
burksel01,N,1253,2107,402,63,352,1206,181,84,793,1340,33,29,62,171,0.291344026548673,3435,81,60,13,5
burleri01,N,656,1401,256,23,50,449,72,68,420,477,11,84,46,138,0.272621132516054,2349,4109,189,893,4
burnsge01,N,1188,2077,362,108,41,611,383,139,872,565,0,112,0,0,0.286838834415136,3918,198,128,42,4
burroje01,N,720,1443,230,20,240,882,16,22,831,1135,65,4,63,148,0.260657514450867,2177,86,60,22,3
bushdo01,N,1281,1804,186,74,9,436,404,75,1158,513,0,337,0,0,0.250208044382802,4119,6286,704,597,4
bushjo01,N,128,313,59,17,7,137,4,4,53,192,0,24,0,0,0.252623083131558,213,839,34,50,2
butlebr01,N,1359,2375,277,131,54,578,558,257,1129,907,23,147,51,62,0.290342298288509,5296,122,41,32,2
cabreor01,N,985,2055,459,32,123,854,216,57,514,745,26,57,90,188,0.271753504363925,3023,5445,198,1186,2
callijo01,N,926,1757,321,89,226,840,74,51,650,1064,73,51,43,98,0.264131088394468,3349,175,57,34,1
camermi01,N,1064,1700,383,59,278,968,297,83,867,1901,19,31,60,114,0.248574352975581,4954,76,71,21,3
camildo01,N,936,1482,261,86,239,950,60,0,947,961,0,24,0,80,0.27685410050439,13724,957,141,1189,5
caminke01,N,894,1710,348,17,239,983,88,39,727,1163,112,14,67,152,0.271946564885496,1491,3141,255,299,6
camniho01,N,42,92,6,1,1,32,1,0,37,204,0,53,0,0,0.13589364844904,63,486,31,8,1
campabe01,N,1181,2249,313,86,79,646,649,199,618,1142,15,199,60,106,0.258982035928144,3789,6323,388,1215,3
camparo01,Y,627,1161,178,18,242,856,25,15,533,501,30,30,18,143,0.276099881093936,6520,550,85,82,10
campbbi02,N,2,4,0,0,0,2,0,1,4,10,0,0,0,1,0.153846153846154,119,172,13,11,4
cansejo01,N,1186,1877,340,14,462,1407,200,88,906,1942,63,1,81,178,0.265977044069718,2003,63,62,19,11
cardele01,N,662,1725,285,49,118,689,39,48,522,1135,122,97,48,174,0.257193976442523,3271,5429,266,1050,2
carewro01,Y,1424,3053,445,112,92,1015,353,187,1018,1028,144,128,64,216,0.327750939345142,13510,3709,260,1796,14
careyma01,Y,1545,2665,419,159,70,800,738,92,1040,695,0,290,0,0,0.284630994339421,6363,339,235,86,5
carltst01,Y,123,346,49,6,13,140,2,2,41,413,0,94,13,33,0.201279813845259,109,724,42,36,17
carpech01,N,18,52,8,0,2,21,0,1,12,144,0,47,1,5,0.118451025056948,185,251,10,32,3
carribi02,N,194,506,67,14,6,235,37,2,206,147,0,79,0,0,0.256852791878173,3093,863,116,74,3
carrocl02,N,17,27,0,0,1,7,0,0,7,65,0,30,0,3,0.129807692307692,60,310,11,24,1
cartega01,Y,1025,2092,371,31,324,1225,39,42,848,997,106,33,99,180,0.262451386275248,12490,1247,128,191,17
cartejo01,N,1170,2184,432,53,396,1445,231,66,527,1387,86,10,105,132,0.259320826407029,5890,281,118,221,4
casanpa01,N,214,627,87,12,50,252,2,10,101,430,25,10,24,78,0.22505384063173,4040,395,69,65,1
caseyse01,N,690,1531,322,12,130,735,18,8,477,577,69,0,39,156,0.302210817212791,10875,558,53,947,1
cashno01,N,1046,1820,241,41,377,1103,43,30,1043,1091,112,17,55,139,0.271439224459359,15173,1317,131,1347,2
castilu01,N,1001,1889,194,59,28,443,370,142,800,850,13,123,26,120,0.290168970814132,3287,4484,124,1051,3
castivi02,N,902,1884,349,28,320,1105,33,43,423,1069,64,8,71,224,0.276165347405453,1389,3632,174,426,6
cavarph01,N,990,1977,347,99,95,920,65,0,820,598,0,89,1,103,0.292715427894581,12435,844,149,1022,5
cedence01,N,1084,2087,436,60,199,976,550,179,664,938,83,32,71,167,0.285499316005472,5984,195,91,179,9
cepedor01,Y,1131,2351,417,27,379,1365,142,80,588,1169,154,4,74,218,0.296581304402674,14829,1030,177,1195,7
ceyro01,N,977,1868,328,21,316,1139,24,29,1012,1235,117,26,82,185,0.260820999720748,1555,4019,224,318,3
chambch01,N,912,2109,392,42,185,972,40,35,632,926,99,19,56,166,0.278562937524766,17771,1351,130,1687,3
chancfr01,Y,798,1274,200,79,20,596,403,0,556,320,0,111,0,0,0.296347987904164,10545,819,185,486,2
chandsp01,N,53,110,18,2,9,45,0,1,20,154,0,33,0,9,0.200729927007299,106,385,10,28,7
chapmra01,N,671,1053,162,81,17,364,233,47,452,414,0,334,0,0,0.278203434610304,2358,3182,358,367,3
chaseha01,N,980,2158,322,124,57,941,363,15,276,580,0,216,0,0,0.290953215585816,18346,1131,423,945,9
clarkfr01,Y,1622,2678,361,220,67,1015,509,0,875,511,0,225,0,0,0.311975768872321,4812,266,266,43,6
clarkja01,N,1118,1826,332,39,340,1180,77,61,1262,1441,127,9,83,174,0.266686139915291,7127,456,105,500,4
clarkjo01,Y,254,432,73,26,24,232,31,0,81,382,0,4,0,0,0.218844984802432,239,1151,178,45,1
clarkwi02,N,1186,2176,440,47,284,1205,67,48,937,1190,155,13,101,100,0.303359821553046,16695,1294,136,1571,7
clemero01,Y,1416,3000,440,166,240,1305,83,46,621,1230,167,36,66,275,0.317325999576899,4697,269,142,42,21
clemero02,N,5,31,6,0,0,12,0,0,13,61,0,18,1,3,0.173184357541899,320,575,25,31,22
cobbty01,Y,2247,4189,724,295,117,1944,896,178,1249,608,0,292,0,0,0.366299405386499,6507,410,278,113,31
cochrmi01,Y,1041,1652,333,64,119,832,64,46,857,217,0,151,0,0,0.319597601083382,6414,840,111,104,28
colavro01,N,971,1730,283,21,374,1159,19,27,951,880,58,16,60,182,0.266031062586499,3407,124,74,31,1
colemvi01,N,849,1425,176,89,28,346,752,177,477,960,12,48,24,45,0.263596004439512,2452,109,68,17,1
collied01,Y,1821,3315,438,187,47,1300,741,173,1499,400,0,512,0,0,0.333199316514223,6621,7716,452,1223,29
combsea01,Y,1186,1866,309,154,58,632,96,71,670,278,0,74,0,0,0.324747650539506,3449,69,95,23,1
conceda01,N,993,2326,389,48,101,950,321,109,736,1186,93,74,86,266,0.26665138140548,4245,7024,326,1390,11
coneda01,N,28,64,9,0,0,22,0,1,16,91,0,38,1,8,0.155339805825243,220,271,28,17,3
coninje01,N,870,1982,385,36,214,1071,54,29,671,1168,46,9,103,182,0.284892913612189,8866,742,98,796,1
coombja01,N,123,261,34,10,4,100,21,2,59,154,0,23,0,0,0.235135135135135,258,516,25,25,3
coopece01,N,1012,2192,415,47,241,1125,89,49,448,911,79,46,79,150,0.298271873724316,13361,1000,121,1348,10
coopemo01,N,50,127,16,0,6,68,0,0,23,118,0,43,0,14,0.194189602446483,50,270,16,20,11
coopewa01,N,573,1341,240,40,173,812,18,1,309,357,3,44,1,160,0.285197788175245,5166,589,138,80,6
coopewi01,N,111,293,34,17,6,106,12,9,47,140,0,38,0,0,0.23879380603097,102,785,42,27,5
covelst01,Y,70,168,26,10,1,81,0,1,53,304,0,72,0,0,0.158790170132325,174,851,29,45,3
cramedo01,N,1357,2705,396,109,37,842,62,73,572,345,0,180,0,99,0.295951859956236,5413,174,118,38,2
crandde01,N,585,1276,179,18,179,657,26,28,424,477,95,68,42,162,0.253879824910466,7449,766,90,125,7
