playerID,inducted,W,L,CG,SHO,SV,H_allowed,ER,HR_allowed,BB_allowed,StruckOut,BAOpp,ERA,WP,HitBatsmen,BK,R_allowed,SH_allowed,SF_allowed,GIDP_pitcher,award_count
abbotji01,N,87,108,31,6,0,1779,791,154,620,888,0.280363636363636,4.49636363636364,53,32,11,880,70,47,200,2
adamsba01,N,194,140,206,44,15,2841,917,68,430,1036,0.256666666666667,3.73368421052632,26,47,2,1129,0,0,0,2
akerja01,N,47,45,0,0,123,679,272,64,274,404,0.253571428571429,3.85428571428571,13,40,0,312,32,12,19,1
alexape01,Y,373,208,437,90,32,4868,1476,164,951,2198,0.253809523809524,2.97238095238095,39,70,1,1851,0,0,0,21
allenjo02,N,142,75,109,17,18,1849,813,104,738,1070,0.244666666666667,3.76533333333333,68,38,5,924,0,0,0,4
alouma01,N,0,0,0,0,0,3,0,0,1,3,0.33,0,0,0,0,0,0,0,0,1
bahnsst01,N,146,149,73,16,20,2440,1013,223,924,1359,0.251526315789474,3.81578947368421,89,34,3,1127,79,61,111,1
bandosa01,N,0,0,0,0,0,3,2,0,0,0,0.231,6,0,0,0,2,0,0,0,2
beckro01,N,38,45,0,0,286,703,282,97,191,644,0.243714285714286,3.54571428571429,23,20,3,308,34,26,40,1
bedrost01,N,76,79,0,0,184,1026,447,114,518,921,0.2296,3.47866666666667,33,27,4,496,44,39,86,3
bendech01,Y,212,127,255,40,34,2645,823,40,712,1711,1.47375,3.444375,72,102,5,1110,0,0,0,3
benitar01,N,40,47,0,0,289,545,271,95,403,946,0.202,3.37,18,16,5,296,24,22,47,2
bentola01,N,127,128,122,13,22,2559,1029,109,691,670,0.294,4.60466666666667,47,25,1,1190,0,0,0,2
bibbyji01,N,111,101,56,19,8,1565,719,131,723,1079,0.250357142857143,4.22285714285714,70,40,13,800,61,52,119,1
blackew01,N,82,78,69,15,10,1150,484,67,562,839,0.235454545454545,3.85909090909091,28,44,2,562,0,0,0,3
bluevi01,N,209,161,143,37,2,2939,1213,263,1185,2175,0.236823529411765,3.51882352941176,103,23,13,1357,149,97,218,6
boddimi01,N,134,116,63,16,3,2082,897,188,721,1330,0.259066666666667,4.1,60,87,8,992,54,50,194,3
boggswa01,Y,0,0,0,0,0,3,1,0,1,2,0.2145,3.375,0,0,0,1,0,0,0,17
bondto01,N,234,163,386,42,0,3765,862,50,193,972,,2.83727272727273,143,2,0,1931,0,0,0,1
bonilbo01,N,0,0,0,0,0,3,2,1,1,0,0.6,18,0,0,1,2,0,0,1,6
brechha01,N,133,92,125,25,18,1731,618,117,536,901,0.230833333333333,2.70416666666667,18,37,5,701,0,0,0,5
bresnro01,Y,4,1,3,1,0,68,22,1,15,15,,3.31666666666667,0,3,0,30,0,0,0,5
bridgto01,N,194,138,200,33,10,2675,1122,181,1192,1674,0.24625,3.720625,59,35,8,1321,0,0,0,6
brownke01,N,211,144,72,17,0,3079,1185,208,901,2397,0.260684210526316,3.55263157894737,108,139,15,1357,95,64,330,2
brownmo01,Y,239,130,271,55,49,2708,725,43,673,1375,4.43571428571429,2.37,59,63,4,1044,0,0,0,4
bunniji01,Y,224,184,151,40,16,3433,1366,372,1000,2855,0.245055555555556,3.56555555555556,47,160,8,1527,24,16,0,2
burdele01,N,203,144,158,33,31,3186,1246,289,628,1074,0.280952380952381,4.06904761904762,23,56,7,1400,0,0,0,2
bushjo01,N,195,183,225,35,20,2992,1205,96,1263,1319,0.278947368421053,4.73631578947368,90,62,1,1443,0,0,0,2
camniho01,N,133,106,137,20,15,1852,637,41,656,915,3.50166666666667,2.98916666666667,37,65,1,857,0,0,0,1
campabe01,N,0,0,0,0,0,1,1,0,2,1,0.33,9,0,0,0,1,0,0,0,3
